Categoría,Subcategoría,Concepto o duda,Variante de búsqueda usada,Fuente,URL exacta,Nombre normalizado de la fuente en NotebookLM,Estado,Método de incorporación,Ruta del DOCX puente si procede,Error de importación si procede,Breve descripción de utilidad didáctica,Prioridad,Ejemplo de pregunta del alumno,Modo pedagógico recomendado,Tipo de duda,Fecha de consulta,Referencia bibliográfica APA
gramática,morfología y clases de palabras,cardinales,site:rae.es cardinales,DPD,https://www.rae.es/dpd/cardinales,Gramática — DPD — cardinales,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar cardinales.",alta,¿Cómo se aplica correctamente el criterio de cardinales en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/cardinales"
léxico/semántica,precisión léxica y préstamos,ceceo,site:rae.es ceceo,DPD,https://www.rae.es/dpd/ceceo,Léxico y semántica — DPD — ceceo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar ceceo.",media,¿Cómo se aplica correctamente el criterio de ceceo en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/ceceo"
léxico/semántica,precisión léxica y préstamos,colores,site:rae.es colores,DPD,https://www.rae.es/dpd/colores,Léxico y semántica — DPD — colores,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar colores.",media,¿Cómo se aplica correctamente el criterio de colores en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/colores"
puntuación,signos y delimitación,coma,site:rae.es coma,DPD,https://www.rae.es/dpd/coma,Puntuación — DPD — coma,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar coma.",alta,¿Cómo se aplica correctamente el criterio de coma en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/coma"
ortotipografía,convenciones gráficas,comillas,site:rae.es comillas,DPD,https://www.rae.es/dpd/comillas,Ortotipografía — DPD — comillas,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar comillas.",media,¿Cómo se aplica correctamente el criterio de comillas en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/comillas"
sintaxis,construcción y relaciones sintácticas,concordancia,site:rae.es concordancia,DPD,https://www.rae.es/dpd/concordancia,Sintaxis — DPD — concordancia,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar concordancia.",alta,¿Cómo se aplica correctamente el criterio de concordancia en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/concordancia"
puntuación,signos y delimitación,corchete,site:rae.es corchete,DPD,https://www.rae.es/dpd/corchete,Puntuación — DPD — corchete,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar corchete.",alta,¿Cómo se aplica correctamente el criterio de corchete en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/corchete"
sintaxis,construcción y relaciones sintácticas,dequeísmo,site:rae.es dequeísmo,DPD,https://www.rae.es/dpd/deque%C3%ADsmo,Sintaxis — DPD — dequeísmo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar dequeísmo.",alta,¿Cómo se aplica correctamente el criterio de dequeísmo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/deque%C3%ADsmo"
léxico/semántica,precisión léxica y préstamos,días de la semana,site:rae.es días de la semana,DPD,https://www.rae.es/dpd/d%C3%ADas%20de%20la%20semana,Léxico y semántica — DPD — días de la semana,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar días de la semana.",media,¿Cómo se aplica correctamente el criterio de días de la semana en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/d%C3%ADas%20de%20la%20semana"
ortografía,acentuación y grafías,diéresis,site:rae.es diéresis,DPD,https://www.rae.es/dpd/di%C3%A9resis,Ortografía — DPD — diéresis,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar diéresis.",alta,¿Cómo se aplica correctamente el criterio de diéresis en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/di%C3%A9resis"
ortografía,acentuación y grafías,diptongo,site:rae.es diptongo,DPD,https://www.rae.es/dpd/diptongo,Ortografía — DPD — diptongo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar diptongo.",alta,¿Cómo se aplica correctamente el criterio de diptongo en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/diptongo"
puntuación,signos y delimitación,dos puntos,site:rae.es dos puntos,DPD,https://www.rae.es/dpd/dos%20puntos,Puntuación — DPD — dos puntos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar dos puntos.",alta,¿Cómo se aplica correctamente el criterio de dos puntos en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/dos%20puntos"
léxico/semántica,precisión léxica y préstamos,español,site:rae.es español,DPD,https://www.rae.es/dpd/espa%C3%B1ol,Léxico y semántica — DPD — español,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar español.",media,¿Cómo se aplica correctamente el criterio de español en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/espa%C3%B1ol"
ortotipografía,convenciones gráficas,fecha,site:rae.es fecha,DPD,https://www.rae.es/dpd/fecha,Ortotipografía — DPD — fecha,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar fecha.",media,¿Cómo se aplica correctamente el criterio de fecha en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/fecha"
gramática,morfología y clases de palabras,fraccionarios,site:rae.es fraccionarios,DPD,https://www.rae.es/dpd/fraccionarios,Gramática — DPD — fraccionarios,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar fraccionarios.",alta,¿Cómo se aplica correctamente el criterio de fraccionarios en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/fraccionarios"
gramática,morfología y clases de palabras,género,site:rae.es género,DPD,https://www.rae.es/dpd/g%C3%A9nero,Gramática — DPD — género,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar género.",alta,¿Cómo se aplica correctamente el criterio de género en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/g%C3%A9nero"
sintaxis,construcción y relaciones sintácticas,gerundio,site:rae.es gerundio,DPD,https://www.rae.es/dpd/gerundio,Sintaxis — DPD — gerundio,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar gerundio.",alta,¿Cómo se aplica correctamente el criterio de gerundio en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/gerundio"
ortografía,acentuación y grafías,guion,site:rae.es guion,DPD,https://www.rae.es/dpd/guion,Ortografía — DPD — guion,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar guion.",alta,¿Cómo se aplica correctamente el criterio de guion en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/guion"
ortografía,acentuación y grafías,hiato,site:rae.es hiato,DPD,https://www.rae.es/dpd/hiato,Ortografía — DPD — hiato,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar hiato.",alta,¿Cómo se aplica correctamente el criterio de hiato en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/hiato"
ortotipografía,convenciones gráficas,hora,site:rae.es hora,DPD,https://www.rae.es/dpd/hora,Ortotipografía — DPD — hora,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar hora.",media,¿Cómo se aplica correctamente el criterio de hora en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/hora"
sintaxis,construcción y relaciones sintácticas,laísmo,site:rae.es laísmo,DPD,https://www.rae.es/dpd/la%C3%ADsmo,Sintaxis — DPD — laísmo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar laísmo.",alta,¿Cómo se aplica correctamente el criterio de laísmo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/la%C3%ADsmo"
sintaxis,construcción y relaciones sintácticas,leísmo,site:rae.es leísmo,DPD,https://www.rae.es/dpd/le%C3%ADsmo,Sintaxis — DPD — leísmo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar leísmo.",alta,¿Cómo se aplica correctamente el criterio de leísmo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/le%C3%ADsmo"
léxico/semántica,precisión léxica y préstamos,llamada de nota,site:rae.es llamada de nota,DPD,https://www.rae.es/dpd/llamada%20de%20nota,Léxico y semántica — DPD — llamada de nota,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar llamada de nota.",media,¿Cómo se aplica correctamente el criterio de llamada de nota en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/llamada%20de%20nota"
ortotipografía,convenciones gráficas,llave,site:rae.es llave,DPD,https://www.rae.es/dpd/llave,Ortotipografía — DPD — llave,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar llave.",media,¿Cómo se aplica correctamente el criterio de llave en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/llave"
sintaxis,construcción y relaciones sintácticas,loísmo,site:rae.es loísmo,DPD,https://www.rae.es/dpd/lo%C3%ADsmo,Sintaxis — DPD — loísmo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar loísmo.",alta,¿Cómo se aplica correctamente el criterio de loísmo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/lo%C3%ADsmo"
ortotipografía,convenciones gráficas,mayúsculas,site:rae.es mayúsculas,DPD,https://www.rae.es/dpd/may%C3%BAsculas,Ortotipografía — DPD — mayúsculas,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar mayúsculas.",media,¿Cómo se aplica correctamente el criterio de mayúsculas en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/may%C3%BAsculas"
léxico/semántica,precisión léxica y préstamos,multiplicativos,site:rae.es multiplicativos,DPD,https://www.rae.es/dpd/multiplicativos,Léxico y semántica — DPD — multiplicativos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar multiplicativos.",media,¿Cómo se aplica correctamente el criterio de multiplicativos en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/multiplicativos"
ortotipografía,convenciones gráficas,numerales,site:rae.es numerales,DPD,https://www.rae.es/dpd/numerales,Ortotipografía — DPD — numerales,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar numerales.",media,¿Cómo se aplica correctamente el criterio de numerales en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/numerales"
ortotipografía,convenciones gráficas,números,site:rae.es números,DPD,https://www.rae.es/dpd/n%C3%BAmeros,Ortotipografía — DPD — números,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar números.",media,¿Cómo se aplica correctamente el criterio de números en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/n%C3%BAmeros"
