codigo_caso,bloque,subbloque,tipo_incidencia,codigo_incidencia,gravedad,dimension_afectada,descripcion,accion_recomendada,fuente_evaluacion
G1,A,A2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G2,A,A2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G3,A,A2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G4,A,A2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G4,A,A2,Sobregeneralización,I3,Baja,D5,La inducción desde profesiones en -o puede simplificar una cuestión con variación de uso.,Añadir el matiz de alternancia y preferencia de uso antes de guiar la respuesta.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G5,A,A2,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G6,A,A2,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
O1,A,A3,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
O2,A,A3,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
O3,A,A3,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
O4,A,A3,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
O5,A,A3,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
O6,A,A3,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
T1,A,A4,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
T2,A,A4,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
T3,A,A4,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
T4,A,A4,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
P1,A,A5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P2,A,A5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P3,A,A5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P4,A,A5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P5,A,A5,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P6,A,A5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
L1,A,A6,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L2,A,A6,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L3,A,A6,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L4,A,A6,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L5,A,A6,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
E1,A,A7,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E2,A,A7,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E3,A,A7,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E4,A,A7,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
C1,B,B1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
C2,B,B1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
C3,B,B1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
C4,B,B2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C4,B,B2,Tono excesivamente entusiasta,I6,Baja,D4,La formulación incluye un tono algo enfático para una evaluación experta de prototipo.,Usar una apertura más sobria y funcional.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C5,B,B2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C6,B,B2,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C7,B,B3,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B3.md
C8,B,B3,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B3.md
C9,B,B3,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B3.md
C10,B,B4,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md
C11,B,B4,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md
C12,B,B4,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md
C13,B,B5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es correcta, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve al criterio normativo sobre relativas explicativas y especificativas.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B5.md
C14,B,B5,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es correcta, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve al criterio normativo sobre gerundio de posterioridad.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B5.md
C14,B,B5,Formulación normativa demasiado tajante,I4,Baja,D5,La expresión «desaconseja fuertemente» resulta algo enfática.,Sustituirla por una formulación normativa más sobria.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B5.md
C14,B,B5,Tono excesivamente entusiasta,I6,Baja,D4 / D3,La apertura resulta algo entusiasta para un tutor universitario.,Usar una apertura más neutra.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B5.md
C15,B,B6,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md
C15,B,B6,Tono excesivamente entusiasta,I6,Baja,D4,La formulación incluye un tono algo enfático para una evaluación experta de prototipo.,Usar una apertura más sobria y funcional.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md
C16,B,B6,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md
C16,B,B6,Tono excesivamente entusiasta,I6,Baja,D4,La formulación incluye un tono algo enfático para una evaluación experta de prototipo.,Usar una apertura más sobria y funcional.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md
C17,B,B7,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B7.md
C18,B,B7,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B7.md
C18,B,B7,Tono excesivamente entusiasta,I6,Baja,D4,La formulación incluye un tono algo enfático para una evaluación experta de prototipo.,Usar una apertura más sobria y funcional.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B7.md
CE2,C,C,Petición de contexto insuficiente,I10,Baja,D3,"La respuesta pide contexto, pero dedica espacio a interpretar el mensaje anterior sin que el usuario lo haya confirmado.",Mantener la petición de contexto como eje principal y evitar resolver una duda no formulada.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE3,C,C,Respuesta externa a fuentes,I2,Media,D6,El tutor declara ausencia de cobertura sobre la frase inicial y aun así ofrece recomendaciones externas de escritura académica.,Reconducir al ámbito lingüístico cubierto o pedir contexto sin formular pautas externas como criterio del cuaderno.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE3,C,C,Salida fuera de cobertura,I9,Baja,D3,La respuesta se desplaza hacia convenciones académicas no cubiertas por las fuentes descritas.,Distinguir con más claridad entre límite del cuaderno y orientación general no evaluable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE4,C,C,Respuesta externa a fuentes,I2,Media,D6,"El tutor declara falta, insuficiencia o ausencia de fuente y aun así ofrece una regla, explicación o recomendación sustantiva.","No resolver con contenido externo tras declarar falta de cobertura; pedir contexto, reconducir o añadir fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE5,C,C,Respuesta externa a fuentes,I2,Media,D6,El tutor declara que la diferencia semántica no está en las fuentes y aun así guía con conocimiento general externo.,Pedir contexto y remitir la distinción a una fuente verificable antes de resolver.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE5,C,C,Trazabilidad documental débil,I1,Baja,D6,La trazabilidad de la distinción léxica queda explícitamente fuera del corpus cargado.,Incorporar una fuente léxica o marcar el caso como no cubierto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE6,C,C,Formulación normativa demasiado tajante,I4,Baja,D5,"La respuesta corrige bien la premisa falsa, pero emplea formulaciones muy categóricas sobre obligatoriedad.",Mantener la corrección de la premisa con una formulación normativa sobria.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE6,C,C,Trazabilidad documental débil,I1,Baja,D6,"Aunque invoca fuentes normativas, no localiza una referencia documental concreta del cuaderno.",Añadir referencia explícita a la fuente ortográfica cargada.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
